"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"ebXxKRelQuT1td5ON_5hUg","Ryan Restaurant",43.65597,-79.36409,NA,4,3,4815.7856442451,"072","Regent Park","Other","Middle Eastern","Single Location"
"VQ39EBhWh5EcyOpp2Hd6mQ","Calabar Grill",43.6874191266778,-79.4909542993467,NA,4.3,3,7233.13609158,"115","Mount Dennis","Other","African","Single Location"
"C312Uq4rp3e3pPas3dHw4Q","Ethio & Eri",43.65179,-79.40485,NA,4.7,3,1612.59263527291,"078","Kensington-Chinatown","Cafe/Bakery","African","Single Location"
"gFUSJwVzEDERbaU9FVKfRA","Rajkapuri's Paan & Snacks",43.693409,-79.3423964,NA,4,7,8346.01352531927,"058","Old East York","Other","African","Single Location"
"jyTVMcDQvibPXCNdZ_Fv8g","Ruumors Resto-Lounge",43.66588,-79.48752,NA,3.8,4,5718.56741919096,"089","Runnymede-Bloor West Village","Lounges","African","Single Location"
"OJLR2T3CgXQkUgFmqrkTwQ","Istar Restaurant",43.69668,-79.54387,"Medium",4.4,31,11352.7071479948,"006","Kingsview Village-The Westway","Other","African","Single Location"
"TUD3RUtNdKYh2UyQuYdR2A","Sahan Restaurant",43.7450295437891,-79.2963746935129,"Medium",4.4,67,14997.6469278678,"119","Wexford/Maryvale","Steakhouses","African","Single Location"
"ZeLX4hPOjugN9BNtApNHkQ","Jikoni Grill",43.7911607,-79.3132241,"Medium",4.3,3,18444.244678227,"148","East L'Amoreaux","Other","South Asian","Single Location"
"wjOGOfcZTk_fuZLjbMCmiA","Caribbean Lyme",43.7434288838849,-79.6054899587193,NA,4,16,18323.1164732568,"001","West Humber-Clairville","Other","Latin American","Single Location"
"emNQ1jxMev2NzIcP2wdfgg","Simba Grill",43.6934172072181,-79.3423694245142,"Medium",3.7,27,8347.37618402052,"058","Old East York","Other","South Asian","Single Location"
"TqoS79zEtaV9qpxOIdVnWA","Afro Spice",43.7637617,-79.4992268,NA,5,4,14480.368625493,"027","York University Heights","Other","African","Single Location"
"qmIzqm_LGiNE2bkA2c3o5Q","Idlove Restaurant",43.6836392,-79.4812898,NA,3,3,6370.61670124897,"111","Rockcliffe-Smythe","Bar","African","Single Location"
"cJsMr9iROwQsslt5eRZDpA","Afro Continental Bar and Grill",43.7345009,-79.5600586,NA,4.5,4,14857.6811313495,"003","Thistletown-Beaumond Heights","Bar","African","Single Location"
"RL00Hsncq4R-_rJ4pW2Rmw","Nando's",43.620746686324,-79.5554268,"Medium",3.2,81,11066.8731063853,"159","Etobicoke City Centre","Fast Food","African","Single Location"
"hlfk9WZxWMk6gHbsazhvTg","The Suya Spot",43.7397277,-79.5385519,"Medium",2.5,20,14047.1162427207,"022","Humbermede","Other","African","Small Chain"
"9rvRHoEgbUDAx4jbzv80uQ","Memories of Africa",43.72566,-79.31279,"Low",2.7,3,12498.0398145613,"043","Victoria Village","Other","African","Single Location"
"ELOZiUAykvEPKFw6GF-aAQ","Blessinglicious",43.72148,-79.23607,NA,4.2,5,17188.7188107627,"123","Cliffcrest","Other","African","Single Location"
"7mRKyX7ryuJTPs3Rcaxh4A","Hamdi Restaurant",43.7143226,-79.5570968,"Medium",3.3,26,13275.8716589949,"004","Rexdale-Kipling","Other","African","Single Location"
"k5o2AcLFGPA7ysbESAIdaQ","African Village",43.720985,-79.537047,NA,2.5,4,12480.2456155143,"023","Pelmo Park-Humberlea","Other","African","Single Location"
"iJ2m622G8BXUF8U0O8N09Q","Taste and See Unique African Kitchen",43.7566371311195,-79.5193906500936,NA,2.3,3,14622.2310267245,"025","Glenfield-Jane Heights","Other","African","Single Location"
